sorer	adj.	더 아픈, 더 쓰라린(sore의 비교급)	2
sorrowful	adj.	슬픈, 비탄에 잠긴	2
soundly	adv.	푹(잠들다), 완전히, 호되게	2
sown	v.	(씨를) 뿌린, 뿌려진(sow의 과거분사)	2
spangles	n.	반짝이는 장식 조각, 스팽글	3
spasm	n.	경련, 발작	2
spasmodic	adj.	발작적인, 간헐적인	3
spec	n.	투기, 모험적 사업(speculation의 구어)	3
speckled	adj.	얼룩덜룩한, 반점이 있는	2
spectators	n.	구경꾼들, 관중	2
speechless	adj.	말문이 막힌, 말을 못 하는	2
spilled	v.	엎질렀다, 쏟았다	1
spilt	v.	엎질렀다, 쏟았다(spill의 과거·과거분사)	2
spires	n.	첨탑, 뾰족탑	2
spit	v., n.	침을 뱉다, 침	1
splashed	v.	(물을) 튀겼다, 첨벙거렸다	1
spliced	v.	(밧줄 등을) 이어 붙였다, 꼬아 이었다	3
splint-bottom	adj.	나무 쪼갠 조각으로 좌판을 엮은(의자)	3
splutter	v., n.	식식거리며 말하다, 푸푸 소리 내다, 튀는 소리	3
sponged	v.	스펀지로 닦았다, 씻어냈다	2
spool	n.	실패, 실감개	2
spouting	v.	뿜어내다, 쏟아내다, 큰소리로 읊다	2
sprague	n.	스프래그(목사의 성, 인명)	3
spree	n.	흥청망청 놀기, 방탕한 놀이	2
spring-board	n.	다이빙대, 도약판	2
spring-knife	n.	접이식 칼(용수철식 나이프)	3
spring-line	n.	배를 매는 밧줄, 계류삭(뱃사람 말)	3
sprung	v.	튀어올랐다, 솟아났다(spring의 과거분사)	2
spumeflakes	n.	물거품 조각들(문학어)	3
sputtering	v.	푸푸 소리 내다, 씩씩거리며 말하다	3
squirm	v.	꿈틀거리다, 몸을 비틀다	2
squirrel	n.	다람쥐	1
stage-fright	n.	무대 공포증	2
standing-collar	n.	빳빳이 선 옷깃(스탠딩 칼라)	3
stanzas	n.	(시의) 연	2
star-gemmed	adj.	별이 보석처럼 박힌(문학어)	3
starboard	n., adj.	우현(배의 오른쪽)	3
starlight	n.	별빛	2
starter	n.	시작, 출발점, 시작하는 사람	2
starved	v., adj.	굶주린, 굶어 죽은	1
stead-y-y-y	int.	침착히!, 그대로!(steady를 길게 늘인 뱃사람 구령)	3
steady-y-y-y	int.	침착히!, 그대로!(steady를 길게 늘인 뱃사람 구령)	3
steamer	n.	증기선	2
steeple	n.	(교회의) 첨탑	2
stem	n.	줄기, (파이프의) 대, 뱃머리	2
stiddy	adj., adv.	침착한, 꾸준한, 착실히(steady의 사투리)	3
stiff-jointed	adj.	관절이 뻣뻣한	3
stiffened	v.	뻣뻣해졌다, 굳어졌다	2
stinging	adj., v.	찌르는 듯한, 쏘는, 따끔한	2
stony-hearted	adj.	냉혹한, 무정한	3
stopper	n.	마개	2
stormy	adj.	폭풍우 치는, 격렬한	1
stoutly	adv.	단호하게, 굳세게	3
stove-lids	n.	난로 뚜껑, 화덕 뚜껑	3
straitened	adj.	궁핍한, 쪼들리는	3
striped	adj.	줄무늬가 있는	1
strongest	adj.	가장 강한	1
stuck-up	adj.	거만한, 잘난 체하는	2
studiously	adv.	애써, 일부러, 부지런히	3
stupendous	adj.	엄청난, 굉장한	3
sturdily	adv.	튼튼하게, 굳세게	3
sublimity	n.	숭고함, 장엄함	3
subscriber	n.	구독자, 기부자	2
subsidence	n.	가라앉음, 잦아듦	3
substantial	adj.	상당한, 실질적인, 튼튼한	2
substitute	n., v.	대용품, 대신하다	2
subtracted	v.	뺐다, 덜어냈다	2
succumb	v.	굴복하다, 무릎 꿇다	3
suds	n.	비눗물 거품	2
sugar-bowl	n.	설탕 그릇	1
sulked	v.	뾰로통해 있었다, 토라졌다	2
sullied	v.	더럽혔다, 오점을 남겼다	3
summersets	n.	공중제비, 재주넘기(somersault의 옛 철자)	3
sumptuous	adj.	호화로운, 사치스러운	3
sumptuously	adv.	호화롭게, 사치스럽게	3
sun-perch	n.	선피시(민물 농어류의 작은 물고기)	3
sun-tanned	adj.	햇볕에 그을린	2
sunday-dressed	adj.	나들이옷(주일 옷)을 차려입은	3
sunken	adj.	가라앉은, 움푹 들어간	2
sunset	n.	일몰, 해질녘	1
sup'rintendents	n.	감독들, 주일학교 교장들(superintendents의 구어)	3
superabundance	n.	넘쳐남, 과잉	3
supervision	n.	감독, 관리	2
supper-table	n.	저녁 식탁	2
suppertime	n.	저녁 식사 시간	1
supplication	n.	간청, 탄원	3
suppressed	v., adj.	억눌렀다, 억눌린	2
sure'nough	adv., adj.	정말로, 진짜의(sure enough의 사투리)	3
sure-enough	adv., adj.	정말로, 진짜의(미국 구어)	3
surer	adj.	더 확실한	1
surest	adj.	가장 확실한	1
surveying	v., n.	둘러보다, 살펴보다, 측량	2
susan	n.	수전(여자 이름, 인명)	3
swabbed	v.	(걸레·솜으로) 닦았다, 훔쳤다	3
swagger	v., n.	거들먹거리며 걷다, 허세	3
swallowing	v.	삼키다, (모욕 등을) 참다	1
swarthy	adj.	거무스름한, 가무잡잡한	3
sweetened	v.	달게 했다, 누그러뜨렸다	2
sweetly	adv.	달콤하게, 상냥하게	1
swimmers	n.	헤엄치는 사람들	1
swimming-place	n.	헤엄치는 곳, 물놀이 터	2
swooned	v.	기절했다, 정신을 잃었다(옛말)	3
symmetrical	adj.	대칭적인, 균형 잡힌	2
tadpoles	n.	올챙이	2
talkative	adj.	수다스러운	2
tallapoosa	n.	탤러푸사(미국 앨라배마주의 강·지명)	3
