mars	pn.	화성(태양계의 네 번째 행성)	2
measure	v., n.	측정하다, 재다; 측정, 조치	1
min	n.	분(minute의 줄임), 최소(minimum의 줄임)	2
misbehaving	adj., v.	제대로 작동하지 않는(장비가 말썽을 부리는), 잘못 행동하는	3
monitoring	n., v.	감시, 관측; 계속 지켜보는	2
nasa-supported	adj.	나사(NASA)의 지원을 받는	2
njit	pn.	뉴저지공과대학교(New Jersey Institute of Technology)	3
nlc	n.	야광운(noctilucent cloud의 약어, 밤하늘 높은 곳에서 빛나는 구름)	3
noaa	pn.	미국 해양대기청(National Oceanic and Atmospheric Administration)	3
noctilucent	adj.	야광의, 밤에 빛나는(야광운을 가리킴)	3
nov	n.	11월(November의 줄임)	1
november	n.	11월	1
overall	adj., adv.	전반적인, 전체의; 전반적으로	2
photos	n.	사진(photo의 복수형)	1
plasma	n.	플라스마(전기를 띤 입자로 이루어진 아주 뜨거운 기체 상태)	3
predict	v.	예측하다, 예보하다	2
program	n.	사업, 계획, 프로그램	1
proposals	n.	제안서, 연구 제안	2
radiation	n.	방사선, 복사(에너지)	2
re	v.	~이다(are의 축약형 're), 다시(접두사 re-)	1
reductions	n.	감축, 삭감, 축소	2
researchers	n.	연구자, 연구원	2
review	n., v.	심사, 검토; 검토하다	2
scientific	adj.	과학의, 과학적인	2
serve	v.	역할을 하다, 근무하다, 제공하다	2
showcase	v., n.	선보이다, 소개하다; 전시	3
states	n., v.	(미국의) 주(州), 국가; 진술하다	1
stevens	pn.	스티븐스(사람의 성씨, 또는 스티븐스공과대학교)	3
stories	n.	이야기, 기사	1
sunspot	n.	흑점(태양 표면의 어둡고 온도가 낮은 점)	3
swao	pn.	우주기상분석실(Space Weather Analysis Office, 나사의 우주기상 분석 조직)	3
testing	n., v.	시험, 검사; 시험하는	1
th	n.	서수를 만드는 말끝(4th, 10th의 '째')	1
united	adj.	연합한, 하나가 된(United States 미합중국)	1
university	n.	대학교	1
upgrading	n., v.	성능 개선, 업그레이드하기	2
validate	v.	검증하다, 타당함을 확인하다	3
volunteer	n., v.	자원봉사자, 자원 참여자; 자원하다	2
warner	pn.	워너(사람의 성씨)	3
web	n.	웹(인터넷), 거미줄	1
ability	n.	능력, 할 수 있는 힘	1
access	n., v.	접근, 이용 권한; 접근하다	2
administration	n.	(행)정부, 관리, 운영(NASA의 A에 해당)	2
alexander	pn.	알렉산더(사람 이름)	2
analyze	v.	분석하다	2
analyzing	v.	분석하는, 분석하기	2
approaches	n., v.	접근법, 방법; 다가가다	2
appropriately	adv.	적절하게, 알맞게	2
approximate	adj., v.	대략의, 어림잡은; 근사치를 내다	3
arabia	pn.	아라비아(사우디아라비아가 있는 서아시아 지역)	2
architectures	n.	구조, 설계 방식(시스템의 뼈대)	3
archive	n., v.	자료 보관소, 기록 보관; 보관하다	3
asset	n.	자산, 활용할 수 있는 장비·자원	2
astronaut-deployed	adj.	우주비행사가 직접 설치한	3
astrophysicists	n.	천체물리학자	3
atmospheric	adj.	대기의, 대기권의	3
automatically	adv.	자동으로	2
autonomy	n.	자율성, 자율 운용(사람 조작 없이 스스로 작동함)	3
ballooning	n., v.	기구(풍선) 비행, 기구 띄우기	3
balloons	n.	(관측용) 기구, 풍선	1
brentha	pn.	브렌타(사람 이름)	3
caballeros	pn.	카바예로스(사람의 성씨)	3
camera	n.	카메라	1
cameras	n.	카메라(camera의 복수형)	1
canada	pn.	캐나다	1
central	adj.	중심의, 중앙의, 핵심적인	2
chandra	pn.	찬드라(나사의 X선 우주망원경 Chandra X-ray Observatory)	3
characteristics	n.	특성, 특징	2
check	v., n.	확인하다, 점검하다; 점검	1
chihoko	pn.	치호코(일본식 사람 이름)	3
churning	adj., v.	요동치는, 부글부글 들끓는	3
classification	n.	분류, 구분	2
co-investigator	n.	공동연구책임자(연구를 함께 이끄는 사람)	3
collectively	adv.	다 합쳐서, 통틀어, 공동으로	3
combines	v.	결합하다, 합치다	2
communications	n.	통신, 교신	2
composed	v., adj.	구성된(be composed of ~로 이루어지다), 구성하다	2
composite	adj., n.	여러 장을 합친, 합성한; 합성 영상	3
computation	n.	계산, 연산	3
concentrations	n.	농도, 밀집된 양	3
confidence-based	adj.	신뢰도(확신 정도)를 기준으로 삼는	3
continually	adv.	끊임없이, 계속해서	2
contributors	n.	기여자, 참여자	2
coordinated	v., adj.	조율된, 협력해 진행한; 조정하다	2
coronal	adj.	코로나의(태양의 바깥 대기층 코로나에 관한)	3
crewed	adj.	유인의, 사람이 타고 있는	3
cullens	pn.	컬런스(사람의 성씨)	3
declared	v.	선언하다, 공식 발표하다	2
deep-space	adj.	심우주의(지구에서 아주 멀리 떨어진 우주의)	3
designed	v., adj.	설계된, ~하도록 만들어진	1
despite	prep.	~에도 불구하고	2
detection	n.	탐지, 검출, 찾아냄	2
dictate	v.	좌우하다, 결정짓다; 받아쓰게 하다	3
differentiate	v.	구별하다, 구분 짓다	3
digital	adj.	디지털의	1
disable	v.	못 쓰게 만들다, 기능을 정지시키다	2
disrupt	v.	방해하다, 교란하다, 혼란에 빠뜨리다	3
diversify	v.	다양화하다, 폭을 넓히다	3
doermann	pn.	되르만(사람의 성씨)	3
drs	n.	박사들(Dr.의 복수형 Drs.)	2
dynamics	n.	역학, 움직임의 양상, 변화 흐름	3
earlier	adj., adv.	더 이른, 앞선; 앞서, 이전에	1
educate	v.	교육하다, 가르치다	2
edwards	pn.	에드워즈(사람의 성씨, 또는 나사 비행연구센터가 있는 에드워즈 공군기지)	3
efficiently	adv.	효율적으로	2
ejections	n.	방출, 분출(coronal mass ejections 코로나 물질 방출)	3
emerge	v.	나타나다, 드러나다	2
en	prep.	~로 가는 중의(en route 도중에)	3
ensuring	v.	보장하는, 반드시 ~하게 하는	2
environment	n.	환경	1
equipment	n.	장비, 기기	1
eruptions	n.	폭발, 분출(태양이 물질을 터뜨려 내보내는 현상)	3
expertise	n.	전문 지식, 전문성	3
extending	v.	확장하는, 연장하는, 늘리는	2
extra	adj.	추가의, 여분의	1
extraordinary	adj.	비범한, 대단한, 이례적인	2
factors	n.	요인, 요소	2
fine-tune	v.	미세 조정하다, 세밀하게 다듬다	3
fixed-size	adj.	크기가 고정된	2
fluctuations	n.	변동, 오르내림	3
focus	n., v.	초점, 중점; 집중하다	1
forecasts	n., v.	예보, 예측; 예보하다	2
gas	n.	기체, 가스	1
geophysical	adj.	지구물리학의(지구의 물리 현상에 관한)	3
greenland	pn.	그린란드(북극권에 있는 세계 최대의 섬)	2
helium	n.	헬륨(아주 가벼운 기체 원소)	2
hemisphere	n.	반구(지구나 천체를 반으로 나눈 한쪽)	3
high-altitude	adj.	고고도의, 높은 상공의	2
high-energy	adj.	고에너지의, 에너지가 큰	2
houston	pn.	휴스턴(미국 텍사스의 도시, 나사 존슨우주센터가 있는 곳)	2
human-in-the-loop	adj., n.	사람이 중간에 개입하는 방식(자동 처리에 사람 판단을 끼워 넣음)	3
hydrogen	n.	수소(가장 가벼운 원소)	2
identification	n.	식별, 판별, 확인	2
identifies	v.	식별하다, 알아내다	2
identify	v.	식별하다, 알아보다, 밝혀내다	2
ii	n.	2(로마 숫자 II, '2세·2호'를 뜻함)	2
imagery	n.	영상 자료, 이미지(들)	3
in-depth	adj.	심층적인, 깊이 있는	2
inbox	n.	받은 편지함	2
indirect	adj.	간접적인	2
