upon	prep.	~위에(on보다 격식체)	L2	이장8회/전체146회
witness	n., v.	목격자, 증인, 목격하다	L2	이장8회/전체10회
em	pron.	그들을(them의 구어체 축약형, 영국 구어)	L3	이장6회/전체48회
counsel	n., v.	조언, 변호사	L2	이장6회/전체6회
reckon	v.	생각하다, 추측하다(영국 구어)	L2	이장3회/전체76회
swear	v.	맹세하다, 욕하다	L2	이장3회/전체21회
graveyard	n.	묘지	L2	이장3회/전체7회
courtroom	n.	법정	L2	이장3회/전체3회
prosecution	n.	기소, 검찰 측	L2	이장3회/전체3회
ain't	v.	am/is/are not의 구어 축약형(비표준)	L2	이장2회/전체122회
kin	v., n.	~할 수 있다(can의 사투리), 친척	L3	이장2회/전체24회
grave	n., adj.	무덤, 엄숙한	L2	이장2회/전체16회
pause	v., n.	잠시 멈추다, 멈춤	L2	이장2회/전체15회
conscience	n.	양심	L2	이장2회/전체14회
remark	v., n.	말하다, 발언	L2	이장2회/전체13회
distress	n., v.	고통, 괴로움; 괴롭히다	L2	이장2회/전체13회
prisoner	n.	죄수, 포로	L2	이장2회/전체9회
fasten	v.	매다, 고정시키다	L2	이장2회/전체7회
oath	n.	맹세, 서약, 욕설	L2	이장2회/전체6회
atmosphere	n.	분위기, 대기	L2	이장2회/전체4회
trial	n.	재판, 시련, 시도	L2	이장2회/전체4회
fascination	n.	매혹, 매료	L2	이장2회/전체4회
halfbreed	n.	혼혈아(백인·인디언 혼혈, 인전 조를 가리킴; 현대에는 비하어)	L3	이장2회/전체3회
testified	v.	증언했다(testify의 과거)	L2	이장2회/전체3회
befriend	v.	친구가 되어 주다, 돕다	L2	이장2회/전체2회
jury	n.	배심원단	L2	이장2회/전체2회
presently	adv.	곧, 이윽고, 잠시 후(옛말: 곧)	L2	이장1회/전체82회
mighty	adj., adv.	강력한, 대단한, 몹시(미국 구어)	L2	이장1회/전체26회
glance	v., n.	흘낏 보다, 흘낏 봄	L2	이장1회/전체21회
stare	v., n.	응시하다, 응시	L2	이장1회/전체20회
shall	v.	~할 것이다(격식체 조동사)	L2	이장1회/전체20회
bout	n.	(질병·활동의) 한바탕, (권투) 시합	L2	이장1회/전체19회
roun	adv., prep.	둘레에, 주위에(round/around의 사투리)	L3	이장1회/전체19회
warn't	v.	~이 아니었다(wasn't/weren't의 사투리)	L3	이장1회/전체16회
fetch	v.	가서 가져오다	L2	이장1회/전체16회
drown	v.	익사하다, 물에 빠뜨리다	L2	이장1회/전체15회
groan	v., n.	신음하다; 신음	L2	이장1회/전체15회
trifle	n., v.	사소한 것, 조금, 가지고 놀다	L3	이장1회/전체15회
shudder	v., n.	몸서리치다, 전율하다	L2	이장1회/전체12회
shortly	adv.	곧, 얼마 안 있어	L2	이장1회/전체12회
forth	adv.	앞으로, 밖으로	L2	이장1회/전체11회
gratitude	n.	감사	L2	이장1회/전체11회
ceased	v.	멈추다, 중단하다	L2	이장1회/전체11회
dismal	adj.	음침한, 우울한	L3	이장1회/전체10회
circumstance	n.	상황, 환경	L2	이장1회/전체10회
dread	v., n.	두려워하다, 공포	L2	이장1회/전체9회
citizen	n.	시민	L2	이장1회/전체9회
afeard	adj.	두려워하는(afraid의 옛말·사투리)	L3	이장1회/전체8회
considerable	adj.	상당한	L2	이장1회/전체8회
git	v.	얻다, 가다(get의 사투리)	L3	이장1회/전체8회
afterward	adv.	나중에, 그 후	L2	이장1회/전체8회
pale	adj.	창백한	L2	이장1회/전체8회
sheriff	n.	보안관	L2	이장1회/전체8회
murmur	v., n.	중얼거리다; 속삭임	L2	이장1회/전체8회
deed	n.	행위; 증서	L2	이장1회/전체8회
relief	n.	안도, 안심	L2	이장1회/전체7회
hain't	v.	~하지 않았다, ~이 아니다(haven't/hasn't/ain't의 사투리)	L3	이장1회/전체7회
twilight	n.	황혼, 땅거미	L2	이장1회/전체7회
miserable	adj.	비참한, 불행한	L2	이장1회/전체7회
impulse	n.	충동	L2	이장1회/전체7회
sneak	v.	몰래 가다, 슬쩍 하다	L2	이장1회/전체7회
strain	n., v.	긴장, 부담; 무리하게 사용하다	L2	이장1회/전체7회
goner	n.	죽은 목숨, 가망 없는 사람(구어)	L3	이장1회/전체6회
corpse	n.	시체	L2	이장1회/전체6회
betray	v.	배신하다	L2	이장1회/전체6회
suspicion	n.	의심	L2	이장1회/전체6회
suspect	n., v.	용의자, 의심하다	L2	이장1회/전체5회
midst	n.	한가운데, 한복판	L2	이장1회/전체5회
shiver	v., n.	떨다, 몸서리	L2	이장1회/전체5회
solemnity	n.	엄숙함, 장엄함	L3	이장1회/전체5회
abuse	n., v.	학대, 남용; 학대하다	L2	이장1회/전체5회
swing	v., n.	흔들다, 휘두르다; 그네	L2	이장1회/전체5회
evidence	n.	증거	L2	이장1회/전체5회
conspicuous	adj.	눈에 띄는	L3	이장1회/전체5회
possession	n.	소유(물)	L2	이장1회/전체5회
elm	n.	느릅나무	L3	이장1회/전체5회
ghastly	adj.	소름끼치는, 섬뜩한	L3	이장1회/전체5회
sufferer	n.	고통받는 사람, 환자	L2	이장1회/전체4회
villain	n.	악당, 악한	L2	이장1회/전체4회
isolated	adj.	고립된, 외딴	L2	이장1회/전체4회
